name,utilisation,date_authorisation,composition,group_generic
"OCREVUS 300 mg, solution à diluer pour perfusion ",,08/01/2018,['ocrélizumab'],
"OCIMUM CANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH ",,08/06/2020,['ocimum canum pour préparations homéopathiques'],
"OCIMUM BASILICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH ",,11/05/2020,['ocimum basilicum pour préparations homéopathiques'],
"OCALIVA 5 mg, comprimé ",,12/12/2016,['acide obéticholique'],
"OCALIVA 10 mg, comprimé ",,12/12/2016,['acide obéticholique'],
"OBSIDIENNE BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH ",,13/11/2020,['obsidienne pour préparations homéopathiques'],
"OBIZUR 500 U, poudre et solvant pour solution injectable ",,11/11/2015,"['susoctocog alfa', 'Pas de substance active.']",
"QUETIAPINE ZENTIVA LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique -: antipsychotiques, diazépines, oxazépines et thiazépines – code ATC : N05A  H04 QUETIAPINE ZENTIVA LP contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE ZENTIVA LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE ZENTIVA LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE ZENTIVA LP même lorsque vous vous sentez mieux.",06/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE ZENTIVA LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique - antipsychotiques, diazépines, oxazépines et thiazépines - code ATC : N05A  H04 QUETIAPINE ZENTIVA LP 400 mg, comprimé à libération prolongée contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE ZENTIVA LP 400 mg, comprimé à libération prolongée peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE ZENTIVA LP 400 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE ZENTIVA LP même lorsque vous vous sentez mieux.",06/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE ZENTIVA LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques, diazépines, oxazépines et thiazépines – code ATC :N05A  H04 QUETIAPINE ZENTIVA LP contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE ZENTIVA LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE ZENTIVA LP 300 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE ZENTIVA LP 300 mg, comprimé à libération prolongée même lorsque vous vous sentez mieux.",06/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE VIATRIS LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines - code ATC : N05A H04 QUETIAPINE VIATRIS LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE VIATRIS LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE VIATRIS LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE VIATRIS LP même lorsque vous vous sentez mieux.",03/04/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE VIATRIS LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines - code ATC : N05A H04 QUETIAPINE VIATRIS LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE VIATRIS LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE VIATRIS LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE VIATRIS LP même lorsque vous vous sentez mieux.",03/04/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE VIATRIS LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines - code ATC : N05A H04 QUETIAPINE VIATRIS LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE VIATRIS LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE VIATRIS LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE VIATRIS LP même lorsque vous vous sentez mieux.",03/04/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE TEVA LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : Antipsychotiques ; Diazépines, oxazépines et thiazépines - code ATC : N05A H04. QUETIAPINE TEVA LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE TEVA LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE TEVA LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE TEVA LP même lorsque vous vous sentez mieux.",07/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE TEVA LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : Antipsychotiques ; Diazépines, oxazépines et thiazépines - code ATC : N05A H04. QUETIAPINE TEVA LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE TEVA LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE TEVA LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE TEVA LP même lorsque vous vous sentez mieux.",07/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE TEVA LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : Antipsychotiques ; Diazépines, oxazépines et thiazépines - code ATC : N05A H04. QUETIAPINE TEVA LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE TEVA LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE TEVA LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE TEVA LP même lorsque vous vous sentez mieux.",07/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE SUN LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques, diazépines, oxazépines et thiazépines, code ATC : N05AH04. QUETIAPINE SUN LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés les antipsychotiques. QUETIAPINE SUN LP peut être utilisé pour traiter diverses maladies telles que: Lorsque QUETIAPINE SUN LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE SUN LP même lorsque vous vous sentez mieux.",08/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE SUN LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques, diazépines, oxazépines et thiazépines, code ATC : N05AH04. QUETIAPINE SUN LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés les antipsychotiques. QUETIAPINE SUN LP peut être utilisé pour traiter diverses maladies telles que: Lorsque QUETIAPINE SUN LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE SUN LP même lorsque vous vous sentez mieux.",08/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE SUN LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques, diazépines, oxazépines et thiazépines, code ATC : N05A H04. QUETIAPINE SUN LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés les antipsychotiques. QUETIAPINE SUN LP peut être utilisé pour traiter diverses maladies telles que: Lorsque QUETIAPINE SUN LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE SUN LP même lorsque vous vous sentez mieux.",08/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE SANDOZ LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique - antipsychotiques, diazépines, oxazépines et thiazépines code ATC : N05AH04 QUETIAPINE SANDOZ LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés les antipsychotiques. QUETIAPINE SANDOZ LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE SANDOZ LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE SANDOZ LP même lorsque vous vous sentez mieux.",24/11/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE SANDOZ LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique - antipsychotiques, diazépines, oxazépines et thiazépines code ATC : N05AH04 QUETIAPINE SANDOZ LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés les antipsychotiques. QUETIAPINE SANDOZ LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE SANDOZ LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE SANDOZ LP même lorsque vous vous sentez mieux.",24/11/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE SANDOZ LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique - antipsychotiques, diazépines, oxazépines et thiazépines code ATC : N05AH04 QUETIAPINE SANDOZ LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés les antipsychotiques. QUETIAPINE SANDOZ LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE SANDOZ LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE SANDOZ LP même lorsque vous vous sentez mieux.",24/11/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE KRKA LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines, thiazépines et oxépines, code ATC : N05AH04. QUETIAPINE KRKA LP contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE KRKA LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE KRKA LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE KRKA LP même lorsque vous vous sentez mieux.",07/11/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE KRKA LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines, thiazépines et oxépines - code ATC : N05AH04 QUETIAPINE KRKA LP contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE KRKA LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE KRKA LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE KRKA LP même lorsque vous vous sentez mieux.",30/10/2018,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE KRKA LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines, thiazépines et oxépines, code ATC : N05AH04. QUETIAPINE KRKA LP contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUÉTIAPINE KRKA LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE KRKA LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE KRKA LP même lorsque vous vous sentez mieux.",24/11/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE EVOLUGEN LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines, code ATC : N05A H04 QUETIAPINE EVOLUGEN LP 50 mg, comprimé à libération prolongée contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE EVOLUGEN LP 50 mg, comprimé à libération prolongée peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE EVOLUGEN LP 50 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE EVOLUGEN LP 50 mg, comprimé à libération prolongée même lorsque vous vous sentez mieux.",28/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE EVOLUGEN LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines, code ATC : N05A H04 QUETIAPINE EVOLUGEN LP 400 mg, comprimé à libération prolongée contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE EVOLUGEN LP 400 mg, comprimé à libération prolongée peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE EVOLUGEN LP 400 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE EVOLUGEN LP 400 mg, comprimé à libération prolongée même lorsque vous vous sentez mieux.",28/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE EVOLUGEN LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines, code ATC : N05A H04 QUETIAPINE EVOLUGEN LP 300 mg, comprimé à libération prolongée contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE EVOLUGEN LP 300 mg, comprimé à libération prolongée peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE EVOLUGEN LP 300 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE EVOLUGEN LP 300 mg, comprimé à libération prolongée même lorsque vous vous sentez mieux.",28/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE EG LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques, diazépines, oxazépines, thiazépines et oxépines, code ATC : N05A H04. QUETIAPINE EG LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE EG LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE EG LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE EG LP même lorsque vous vous sentez mieux.",18/12/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE EG LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques, diazépines, oxazépines, thiazépines et oxépines, code ATC : N05A H04. QUETIAPINE EG LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE EG LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE EG LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE EG LP même lorsque vous vous sentez mieux.",18/12/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE EG LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques, diazépines, oxazépines, thiazépines et oxépines, code ATC : N05A H04. QUETIAPINE EG LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE EG LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE EG LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE EG LP même lorsque vous vous sentez mieux.",18/12/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE CRISTERS LP 50 mg, comprimé à libération prolongée ","QUETIAPINE CRISTERS LP 50 mg, comprimé à libération prolongée contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE CRISTERS LP 50 mg, comprimé à libération prolongée peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE CRISTERS LP 50 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE CRISTERS LP 50 mg, comprimé à libération prolongée même lorsque vous vous sentez mieux.",10/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE CRISTERS LP 400 mg, comprimé à libération prolongée ","QUETIAPINE CRISTERS LP 400 mg, comprimé à libération prolongée contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE CRISTERS LP 400 mg, comprimé à libération prolongée peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE CRISTERS LP 400 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE CRISTERS LP 400 mg, comprimé à libération prolongée même lorsque vous vous sentez mieux.",10/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE CRISTERS LP 300 mg, comprimé à libération prolongée ","QUETIAPINE CRISTERS LP 300 mg, comprimé à libération prolongée contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE CRISTERS LP 300 mg, comprimé à libération prolongée peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE CRISTERS LP 300 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE CRISTERS LP 300 mg, comprimé à libération prolongée même lorsque vous vous sentez mieux.",10/07/2017,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE BIOGARAN LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines  - code ATC : N05AH04 QUETIAPINE BIOGARAN LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE BIOGARAN LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE BIOGARAN LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE BIOGARAN LP même lorsque vous vous sentez mieux.",06/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 50 mg - XEROQUEL LP 50 mg, comprimé à libération prolongée"
"QUETIAPINE BIOGARAN LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines  - code ATC : N05AH04 QUETIAPINE BIOGARAN LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE BIOGARAN LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE BIOGARAN LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE BIOGARAN LP même lorsque vous vous sentez mieux.",06/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
"QUETIAPINE BIOGARAN LP 300 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines  - code ATC : N05AH04 QUETIAPINE BIOGARAN LP contient une substance qui s'appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE BIOGARAN LP peut être utilisé pour traiter diverses maladies telles que : Lorsque QUETIAPINE BIOGARAN LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE BIOGARAN LP même lorsque vous vous sentez mieux.",06/04/2016,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 300 mg - XEROQUEL LP 300 mg, comprimé à libération prolongée"
"QUETIAPINE ARROW LP 50 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques ; diazépines, oxazépines et thiazépines – code ATC : N05AH04. QUETIAPINE ARROW LP 50 mg, comprimé à libération prolongée contient une substance ayant pour nom la quétiapine. Cette substance appartient au groupe de médicaments appelés les antipsychotiques. QUETIAPINE ARROW LP 50 mg, comprimé à libération prolongée peut être utilisé pour traiter plusieurs maladies, telles que : Lorsque QUETIAPINE ARROW LP 50 mg, comprimé à libération prolongée est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d'un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE ARROW LP 50 mg, comprimé à libération prolongée même lorsque vous vous sentez mieux.",17/03/2015,['quétiapine'],
"QUETIAPINE ARROW LP 400 mg, comprimé à libération prolongée ","Classe pharmacothérapeutique : antipsychotiques - diazépines, oxazépines, thiazépines et oxépines - code ATC : N05AH04 QUETIAPINE ARROW LP contient une substance qui s’appelle la quétiapine. Cette substance appartient au groupe de médicaments appelés antipsychotiques. QUETIAPINE ARROW LP peut être utilisé pour traiter diverses maladies, telles que : Lorsque QUETIAPINE ARROW LP est prescrit pour traiter des épisodes dépressifs majeurs dans le trouble dépressif majeur, il sera pris en complément d’un autre médicament prescrit pour traiter cette maladie. Votre médecin peut continuer à vous prescrire QUETIAPINE ARROW LP, même lorsque vous vous sentez mieux.",17/06/2015,['quétiapine'],"QUÉTIAPINE (FUMARATE DE) équivalant à QUETIAPINE 400 mg - XEROQUEL LP 400 mg, comprimé à libération prolongée"
